word,count
い,11951
SEVENTEEN,9674
ㅋ,9508
っ,9306
들,9219
니,8920
콘,8853
な,8755
트,8509
로,7824
ン,7756
해,7739
기,7725
1,7513
리,7425
시,7207
か,6649
ん,6639
만,6585
게,6553
😭,6533
데,6513
한,6366
ー,6194
사,6129
세,6002
보,5961
라,5801
주,5773
る,5635
ま,5606
일,5599
n,5522
스,5509
す,5465
2,5463
🥹,5431
チ,5369
@,5300
到,5222
i,5185
인,5072
ㅠ,5066
오,5033
무,5030
セ,5028
그,5022
있,4977
ブ,4926
く,4886
자,4836
ら,4740
克拉,4610
好,4602
..,4594
c,4588
으,4571
거,4528
🏻,4475
정,4322
t,4297
買,4254
來,4235
—,4192
*,4190
면,4179
$,4135
내,4134
不,4081
틴,4070
I,4054
だ,3977
m,3962
7,3930
마,3885
💎,3881
드,3822
대,3797
り,3779
븐,3778
너,3707
う,3668
구,3647
應援,3645
캐,3643
우,3632
진,3630
야,3617
れ,3610
의,3588
後,3556
수,3520
3,3516
ng,3497
✨,3443
演唱,3429
부,3420
까,3419
đ,3388
け,3315
沒,3304
제,3281
장,3270
분,3267
안,3235
去,3141
음,3131
à,3063
럿,3050
但,3045
🩵,3041
🫶,3007
🩷,3005
き,2997
concert,2972
했,2971
여,2962
お,2951
さ,2895
ち,2862
전,2860
공,2826
s,2823
Seventeen,2751
6,2749
ス,2734
こ,2730
원,2724
5,2722
17,2722
간,2689
4,2618
10,2609
랑,2597
看,2590
•,2544
소,2544
었,2538
생,2534
ト,2531
回覆,2489
nh,2481
려,2472
미,2461
좋,2439
래,2428
더,2389
티,2361
時間,2360
#seventeen,2358
為,2345
🤣,2332
⋯,2317
あ,2297
같,2288
모,2286
신,2280
よ,2280
seventeen,2255
상,2255
希望,2230
ど,2221
11,2216
번,2211
卡,2142
말,2131
13,2126
イ,2122
예,2117
없,2109
」,2102
비,2088
尚無,2084
ゃ,2083
動態,2082
卡冊,2078
「,2076
디,2076
再,2067
저,2063
중,2058
20,2048
😍,2040
查看,2033
係,2015
#세븐틴,2002
버,1984
l,1981
연,1979
小卡,1968
ッ,1956
上,1950
많,1915
러,1911
個,1906
們,1896
행,1893
할,1891
♡,1884
짜,1863
一起,1851
·,1848
영,1846
❤️,1840
有人,1839
┈,1837
눔,1837
ル,1821
때,1815
늘,1809
9,1802
🙏,1800
留言,1793
多,1789
12,1777
v,1772
領取,1759
던,1759
8,1751
出,1739
입,1733
手燈,1719
日,1707
감,1681
め,1677
ㅎ,1674
ア,1674
ラ,1662
ジ,1661
되,1655
話,1654
2026,1651
습,1648
可,1643
싶,1638
히,1637
á,1619
겠,1595
😂,1588
🥺,1579
‼️,1575
켓,1563
잘,1552
ミ,1547
喜歡,1546
네,1546
것,1546
00,1537
見,1533
直接,1531
개,1529
ư,1528
做,1524
바,1524
올,1522
th,1521
y,1514
매,1511
노,1504
え,1504
관,1496
#SEVENTEEN,1494
실,1494
年,1489
준,1488
發放,1487
交換,1487
동,1486
そ,1486
讓,1483
月,1480
년,1476
み,1474
🔥,1471
SVT,1468
>,1460
금,1458
당,1450
一下,1448
棒,1438
날,1435
못,1435
🍀,1412
심,1412
歡迎,1405
월,1395
や,1390
カ,1389
함,1388
還有,1387
건,1384
덕,1383
성,1381
30,1375
물,1369
把,1366
명,1364
還是,1359
￼,1356
치,1351
