word,count
到,5074
克拉,4474
SEVENTEEN,4238
來,4131
1,4047
買,3968
好,3965
不,3944
$,3634
應援,3571
演唱,3274
沒,3253
去,3068
後,3060
😭,3043
但,2973
*,2968
🥹,2947
—,2852
7,2604
看,2494
2,2408
⋯,2240
為,2222
卡,2101
卡冊,2071
時間,2013
希望,2006
再,1932
小卡,1909
係,1893
們,1861
有人,1807
一起,1804
個,1778
留言,1767
✨,1750
領取,1723
💎,1700
3,1698
手燈,1693
」,1660
上,1655
「,1634
多,1581
可,1560
直接,1494
做,1491
喜歡,1491
6,1480
發放,1457
@,1454
讓,1443
10,1433
一下,1414
棒,1392
歡迎,1380
5,1365
🤣,1359
┈,1359
還有,1358
20,1354
😍,1347
還是,1331
把,1331
話,1322
私訊,1312
4,1304
又,1281
或,1271
能,1268
這次,1263
出,1240
11,1225
被,1224
seventeen,1209
想要,1204
快,1200
於,1185
嘅,1185
需要,1183
代購,1166
今天,1164
·,1151
時候,1150
就是,1144
00,1126
對,1112
唔,1111
月,1085
Seventeen,1081
年,1080
票,1078
‼,1074
找,1074
•,1063
朋友,1051
不要,1051
拍,1042
數量,1030
便,1023
應援物,1017
周邊,1015
17,1008
小,996
最,991
商品,988
｜,985
得,973
其他,972
下,972
🩵,966
12,959
香港,959
9,958
才,946
面交,944
日,943
專輯,936
張,936
製,922
用,920
帶,918
可能,916
中,916
成員,912
等,911
♡,911
賣,910
份,906
一直,901
賣貨,899
⚠️,896
與,895
🫶🏻,895
🥺,894
現場,893
8,884
地點,882
下單,877
交換,875
搶,875
第一次,874
目前,871
謝謝,866
一,853
隨機,853
官方,851
13,838
吊飾,836
很多,830
比,830
😂,828
準備,824
匯款,817
30,815
ㅠ,815
幫,802
特典,800
🍀,783
愛,778
🩷,772
台灣,766
26,763
追星,760
一次,755
25,752
📍,738
一樣,736
已,736
各位,736
大,732
方式,728
>,726
先,725
卡套,724
已經,723
送,712
不會,712
整理,707
開始,705
這樣,697
日期,692
貨便,687
50,682
一定,680
時,678
❤️,677
🥲,670
出貨,670
活動,668
只,664
放,662
覺得,659
之前,656
現在,655
著,653
雖然,653
寛,652
高雄,650
🙏🏻,650
嗚,646
價格,645
收到,637
一張,633
SVT,629
完,627
前,620
24,619
IG,618
一些,617
走,616
見,615
˚,612
從,611
皆,608
只有,608
拿,605
收,596
太,594
閃店,590
看看,588
日本,582
隻,581
套,579
咗,576
萬,576
元,576
追,573
⸝,569
𝐄,567
結果,563
⋆,563
❗️,557
15,556
2026,555
100,555
場,552
貼,552
我會,550
聽,550
出示,548
貼紙,545
一份,543
─,543
任何,542
⃣,542
以,540
圖,540
粉絲,539
DxS,539
ᐟ,539
錢,538
注意,537
💰,536
冇,535
應該,534
更,533
發現,526
感覺,526
睇,526
💙,525
》,524
開,523
最近,517
寄出,511
問題,510
東西,509
♀️,508
拆,508
未,507
𝐍,505
非常,501
《,501
之,497
購買,495
生日,494
₊,492
ㅋ,489
這麼,488
<,488
優先,487
🔥,487
韓國,484
超級,483
第一,483
所有,482
較,481
當天,481
而且,480
開心,479
全部,477
不用,475
𝑬,474
誰,473
台北,471
不能,469
🫠,468
感謝,467
svt,462
